# Findings this volume accepts.
#
# tools/audit.py checks the parsed library against independent chapter and
# verse counts. Every line it reports is either a defect or a property of the
# printed edition, and until this file existed there was no way to tell which:
# the script exited zero whatever it found, so a hundred and fifty lines of
# known-good output hid the real ones. Three chapters of Ignatius and fifty-six
# chapter openings were missing from the volume the whole time it ran.
#
# So: a finding not listed here fails the build. A line listed here that no
# longer occurs also fails the build, because the file has to keep describing
# the volume as it actually is. Nothing regenerates it -- every entry below was
# written down with a reason, which is the standard the rest of the volume is
# held to, and a baseline that rewrote itself would let the next regression in
# under a passing build.
#
# Format: KIND | work | detail | detail. Blank lines and # are ignored.
#
# Regenerate the findings with:
#     python3 tools/audit.py docs/data


# ------------------------------------------------------------------------
# The World English Bible follows the critical text
#
# The WEB is the edition printed here. It omits the verses that modern
# critical editions judge to be later additions, and keeps the verse
# numbers so the omission is visible rather than silent. Acts 8:37,
# 15:34 and 24:7, and Luke 17:36, are those verses. Revelation 12 is a
# versification difference, not an omission: the WEB ends the chapter at
# 17 where the KJV runs to 18.

V-GAP | acts | Chapter 15 | missing [34]
V-GAP | acts | Chapter 24 | missing [7]
V-GAP | acts | Chapter 8 | missing [37]
V-GAP | luke | Chapter 17 | missing [36]
VERSES | acts | expected 1007 | got 1004
VERSES | luke | expected 1151 | got 1150
VERSES | revelation | expected 405 | got 404

# ------------------------------------------------------------------------
# Sirach: the WEB prints the short Greek text
#
# The verse numbers of Sirach come from a longer recension (GII) whose
# additional lines the WEB does not carry. The numbering is left standing,
# so a gap here is the edition showing its work, not a parse that lost a
# line.

V-GAP | sirach-ecclesiasticus | Chapter 1 | missing [5, 7, 21]
V-GAP | sirach-ecclesiasticus | Chapter 10 | missing [21]
V-GAP | sirach-ecclesiasticus | Chapter 11 | missing [15, 16]
V-GAP | sirach-ecclesiasticus | Chapter 13 | missing [14]
V-GAP | sirach-ecclesiasticus | Chapter 16 | missing [15, 16]
V-GAP | sirach-ecclesiasticus | Chapter 17 | missing [5, 9, 16, 18, 21]
V-GAP | sirach-ecclesiasticus | Chapter 18 | missing [3]
V-GAP | sirach-ecclesiasticus | Chapter 19 | missing [18, 19, 21]
V-GAP | sirach-ecclesiasticus | Chapter 20 | missing [3]
V-GAP | sirach-ecclesiasticus | Chapter 22 | missing [9, 10]
V-GAP | sirach-ecclesiasticus | Chapter 24 | missing [18, 24]
V-GAP | sirach-ecclesiasticus | Chapter 25 | missing [12]
V-GAP | sirach-ecclesiasticus | Chapter 3 | missing [19]

# ------------------------------------------------------------------------
# Charles's Jubilees and Enoch do not number continuously
#
# R. H. Charles's 1913 editions transpose verses on manuscript grounds --
# the Apocalypse of Weeks in Enoch 91 and 93 is the well-known case -- and
# set the poetry in indented strophes whose numbers sit inside the block.
# The result is a numbering with real holes in it. These were checked as a
# class, not one by one; any of them that turns out to be a parse fault is
# a defect and should be fixed rather than left here.

CHAPTERS | 1-enoch-dream-visions-and-the-epistle-of-enoch-chapters-83-108 | expected 26 | got 25
CHAPTERS | 1-enoch-the-astronomical-book-chapters-72-82 | expected 11 | got 10
V-GAP | 1-enoch-dream-visions-and-the-epistle-of-enoch-chapters-83-108 | 1 ENOCH 100 | missing [2, 4, 10]
V-GAP | 1-enoch-dream-visions-and-the-epistle-of-enoch-chapters-83-108 | 1 ENOCH 106 | missing [15, 16]
V-GAP | 1-enoch-dream-visions-and-the-epistle-of-enoch-chapters-83-108 | 1 ENOCH 90 | missing [14, 15, 17, 18]
V-GAP | 1-enoch-dream-visions-and-the-epistle-of-enoch-chapters-83-108 | 1 ENOCH 93 | missing [2, 11]
V-GAP | 1-enoch-dream-visions-and-the-epistle-of-enoch-chapters-83-108 | 1 ENOCH 96 | missing [2]
V-GAP | 1-enoch-the-astronomical-book-chapters-72-82 | 1 ENOCH 76 | missing [13]
V-GAP | 1-enoch-the-astronomical-book-chapters-72-82 | 1 ENOCH 81 | missing [2]
V-GAP | 1-enoch-the-astronomical-book-chapters-72-82 | 1 ENOCH 82 | missing [14]
V-GAP | 1-enoch-the-book-of-parables-chapters-37-71 | 1 ENOCH 39 | missing [6, 7]
V-GAP | 1-enoch-the-book-of-parables-chapters-37-71 | 1 ENOCH 46 | missing [3, 4]
V-GAP | 1-enoch-the-book-of-parables-chapters-37-71 | 1 ENOCH 55 | missing [3]
V-GAP | 1-enoch-the-book-of-parables-chapters-37-71 | 1 ENOCH 60 | missing [4, 5, 16]
V-GAP | 1-enoch-the-book-of-the-watchers-chapters-1-36 | 1 ENOCH 10 | missing [7, 14, 16, 17, 18]
V-GAP | 1-enoch-the-book-of-the-watchers-chapters-1-36 | 1 ENOCH 14 | missing [10]
V-GAP | 1-enoch-the-book-of-the-watchers-chapters-1-36 | 1 ENOCH 15 | missing [10]
V-GAP | 1-enoch-the-book-of-the-watchers-chapters-1-36 | 1 ENOCH 16 | missing [3]
V-GAP | 1-enoch-the-book-of-the-watchers-chapters-1-36 | 1 ENOCH 18 | missing [6]
V-GAP | 1-enoch-the-book-of-the-watchers-chapters-1-36 | 1 ENOCH 22 | missing [4]
V-GAP | 1-enoch-the-book-of-the-watchers-chapters-1-36 | 1 ENOCH 25 | missing [2, 3]
V-GAP | 1-enoch-the-book-of-the-watchers-chapters-1-36 | 1 ENOCH 9 | missing [3]
V-GAP | jubilees | JUBILEES 13 | missing [3, 13, 25]
V-GAP | jubilees | JUBILEES 17 | missing [3]
V-GAP | jubilees | JUBILEES 2 | missing [20]
V-GAP | jubilees | JUBILEES 22 | missing [21, 26]
V-GAP | jubilees | JUBILEES 25 | missing [10]
V-GAP | jubilees | JUBILEES 3 | missing [23]
V-GAP | jubilees | JUBILEES 4 | missing [6]
V-GAP | jubilees | JUBILEES 42 | missing [3]
V-GAP | jubilees | JUBILEES 5 | missing [17]
V-GAP | jubilees | JUBILEES 6 | missing [15]
V-GAP | jubilees | JUBILEES 9 | missing [9]

# ------------------------------------------------------------------------
# Greek Esther: the additions are folded into the ten chapters
#
# The WEB keeps the Greek book's own arrangement rather than the Vulgate's
# appended chapters 11-16, so Addition A opens chapter 1 and the verse
# numbering restarts where the addition ends.

V-GAP | esther-greek-version | Chapter 4 | missing [6]
V-GAP | esther-greek-version | Chapter 9 | missing [5, 30]

# ------------------------------------------------------------------------
# Two holes that used to be listed here, and are not holes any more
#
# 1 Clement broke off at chapter 59, because the 1885 Ante-Nicene Fathers
# printing depends on Codex Alexandrinus, whose last leaf is damaged: 57.7
# to 63.4 is not in it, and the great intercessory prayer is inside that.
# The gap was never a gap in the public domain -- Bryennios found the whole
# letter in 1873 and Lightfoot printed it in English in 1891 -- and
# tools/build_lightfoot.py recovers those six chapters from the scan of that
# printing, so the letter now runs to 65 as every edition of the complete
# text does.
#
# Ignatius to the Smyrnaeans had not lost its thirteenth chapter at all. The
# chapter was in the volume, printed as the second half of chapter 12,
# behind the ANF heading that opens it: the single word CONCLUSION, left
# standing in the running text. The boundary is restored.

# ------------------------------------------------------------------------
# Works placed by their section rather than by a dated argument
#
# The arrangement by composition date is the claim this volume exists to
# make, and it is the least examined thing in it. tools/positions.py holds
# 52 records, each carrying a traditional and a critical date with a reason
# and a source for both, and audit.py has always refused to build if any of
# those fields is blank. What it never asked was the other direction:
# whether a work has a record at all. It walked the positions and checked
# them; it never walked the works. So the fifty-two were held to a strict
# standard and the hundred and four were held to none, and nothing counted
# them.
#
# These are not undated on the page. A work with no record inherits the span
# of the section it is filed under -- Micah sits in EIGHTH-CENTURY PROPHETIC
# BOOKS and takes c. 760-700 BCE from the heading -- and the timeline draws
# that bar fainter than a cited one, which is the site saying, correctly,
# that it is a looser claim. What was missing is any accounting of how much
# of the library rests on it: two thirds.
#
# They are listed rather than silenced. Every line here is a work whose
# placement a reader cannot check, and writing a position record for any of
# them removes its line -- which the gate enforces, since an accepted
# finding that stops occurring fails the build just as a new one does. The
# list is meant to shrink.
#
# Not included: the nine entries that carry no text -- editorial notes,
# the Dead Sea Scrolls summaries, and the Psalms of Solomon and Philo
# placeholders. Nothing dates an apparatus note.

NO-POSITION | 1-corinthians | placed by its section's era | no dated position record
NO-POSITION | 1-enoch-dream-visions-and-the-epistle-of-enoch-chapters-83-108 | placed by its section's era | no dated position record
NO-POSITION | 1-enoch-the-astronomical-book-chapters-72-82 | placed by its section's era | no dated position record
NO-POSITION | 1-enoch-the-book-of-parables-chapters-37-71 | placed by its section's era | no dated position record
NO-POSITION | 1-esdras | placed by its section's era | no dated position record
NO-POSITION | 1-john | placed by its section's era | no dated position record
NO-POSITION | 1-maccabees | placed by its section's era | no dated position record
NO-POSITION | 1-thessalonians | placed by its section's era | no dated position record
NO-POSITION | 2-corinthians | placed by its section's era | no dated position record
NO-POSITION | 2-esdras-4-ezra | placed by its section's era | no dated position record
NO-POSITION | 2-john | placed by its section's era | no dated position record
NO-POSITION | 2-maccabees | placed by its section's era | no dated position record
NO-POSITION | 3-john | placed by its section's era | no dated position record
NO-POSITION | 3-maccabees | placed by its section's era | no dated position record
NO-POSITION | 4-maccabees | placed by its section's era | no dated position record
NO-POSITION | baruch | placed by its section's era | no dated position record
NO-POSITION | bel-and-the-dragon-greek-daniel-14 | placed by its section's era | no dated position record
NO-POSITION | commandment-1 | placed by its section's era | no dated position record
NO-POSITION | commandment-10 | placed by its section's era | no dated position record
NO-POSITION | commandment-11 | placed by its section's era | no dated position record
NO-POSITION | commandment-12 | placed by its section's era | no dated position record
NO-POSITION | commandment-2 | placed by its section's era | no dated position record
NO-POSITION | commandment-3 | placed by its section's era | no dated position record
NO-POSITION | commandment-4 | placed by its section's era | no dated position record
NO-POSITION | commandment-5 | placed by its section's era | no dated position record
NO-POSITION | commandment-6 | placed by its section's era | no dated position record
NO-POSITION | commandment-7 | placed by its section's era | no dated position record
NO-POSITION | commandment-8 | placed by its section's era | no dated position record
NO-POSITION | commandment-9 | placed by its section's era | no dated position record
NO-POSITION | deuteronomy-5-the-decalogue | placed by its section's era | no dated position record
NO-POSITION | deuteronomy-6-the-shema-is-verses-4-9 | placed by its section's era | no dated position record
NO-POSITION | esther-greek-version | placed by its section's era | no dated position record
NO-POSITION | ezra | placed by its section's era | no dated position record
NO-POSITION | fragments-of-papias | placed by its section's era | no dated position record
NO-POSITION | galatians | placed by its section's era | no dated position record
NO-POSITION | habakkuk | placed by its section's era | no dated position record
NO-POSITION | haggai | placed by its section's era | no dated position record
NO-POSITION | judith | placed by its section's era | no dated position record
NO-POSITION | lamentations | placed by its section's era | no dated position record
NO-POSITION | malachi | placed by its section's era | no dated position record
NO-POSITION | micah | placed by its section's era | no dated position record
NO-POSITION | nahum | placed by its section's era | no dated position record
NO-POSITION | nehemiah | placed by its section's era | no dated position record
NO-POSITION | numbers-6-the-priestly-blessing-is-verses-24-26 | placed by its section's era | no dated position record
NO-POSITION | obadiah | placed by its section's era | no dated position record
NO-POSITION | philemon | placed by its section's era | no dated position record
NO-POSITION | philippians | placed by its section's era | no dated position record
NO-POSITION | psalm-151 | placed by its section's era | no dated position record
NO-POSITION | romans | placed by its section's era | no dated position record
NO-POSITION | similitude-1 | placed by its section's era | no dated position record
NO-POSITION | similitude-10 | placed by its section's era | no dated position record
NO-POSITION | similitude-2 | placed by its section's era | no dated position record
NO-POSITION | similitude-3 | placed by its section's era | no dated position record
NO-POSITION | similitude-4 | placed by its section's era | no dated position record
NO-POSITION | similitude-5 | placed by its section's era | no dated position record
NO-POSITION | similitude-6 | placed by its section's era | no dated position record
NO-POSITION | similitude-7 | placed by its section's era | no dated position record
NO-POSITION | similitude-8 | placed by its section's era | no dated position record
NO-POSITION | similitude-9 | placed by its section's era | no dated position record
NO-POSITION | sirach-ecclesiasticus | placed by its section's era | no dated position record
NO-POSITION | susanna-greek-daniel-13 | placed by its section's era | no dated position record
NO-POSITION | the-acts-of-paul-and-thecla | placed by its section's era | no dated position record
NO-POSITION | the-epistle-of-barnabas | placed by its section's era | no dated position record
NO-POSITION | the-epistle-of-ignatius-to-polycarp | placed by its section's era | no dated position record
NO-POSITION | the-epistle-of-ignatius-to-the-ephesians | placed by its section's era | no dated position record
NO-POSITION | the-epistle-of-ignatius-to-the-magnesians | placed by its section's era | no dated position record
